SR. NO.,PARTY TYPE,ABBREVIATION,PARTY SYMBOL,PARTY NAME
1,N,BJP,Lotus,Bharatiya Janata Party
2,N,BSP,Elephant,Bahujan Samaj Party
3,N,CPI,Ears of Corn And Sickle,Communist Party of India
4,N,CPM,"Hammer, Sickle and Star",Communist Party of India  (Marxist)
5,N,INC,Hand,Indian National Congress
6,N,NCP,Clock,Nationalist Congress Party
7,S,AAAP,Broom,Aam Aadmi Party
8,S,ADMK,Two Leaves,All India Anna Dravida Munnetra Kazhagam
9,S,AGP,Elephant,Asom Gana Parishad
10,S,AIFB,"Almirah,Lion",All India Forward Bloc
11,S,AINRC,Jug,All India N.R. Congress
12,S,AITC,Flowers and Grass,All India Trinamool Congress
13,S,AIUDF,Lock and Key,All India United Democratic Front
14,S,AJSUP,Banana,AJSU Party
15,S,BJD,Conch,Biju Janata Dal
16,S,BOPF,Nangol,Bodoland Peoples Front
17,S,DMDK,Nagara,Desiya Murpokku Dravida Kazhagam
18,S,DMK,Rising Sun,Dravida Munnetra Kazhagam
19,S,HJCBL,Tractor,Haryana Janhit Congress (BL)
20,S,INLD,Spectacles,Indian National Lok Dal
21,S,IUML,"Battery Torch,Ladder",Indian Union Muslim League
22,S,JD(S),A lady farmer carrying paddy on her head,Janata Dal  (Secular)
23,S,JD(U),Arrow,Janata Dal  (United)
24,S,JKN,Plough,Jammu & Kashmir National Conference
25,S,JKNPP,"Bicycle,Pressure Cooker",Jammu & Kashmir National Panthers Party
26,S,JKPDP,Ink Pot &amp; Pen,Jammu & Kashmir Peoples Democratic Party
27,S,JMM,"Almirah,Bow &amp; Arrow,Dish Antenna,Table Lamp",Jharkhand Mukti Morcha
28,S,JVM,Comb,Jharkhand Vikas Morcha (Prajatantrik)
29,S,KEC(M),Two Leaves,Kerala Congress  (M)
30,S,LJP,Bungalow,Lok Jan Shakti Party
31,S,MNS,Railway Engine,Maharashtra Navnirman sena
32,S,NPEP,Book,National Peoples Party
33,S,NPF,Cock,Naga Peoples Front
34,S,PMK,Mango,Pattali Makkal Katchi
35,S,PPA,Maize,People's Party of Arunachal
36,S,RJD,"Candles,Hurricane Lamp",Rashtriya Janata Dal
37,S,RLD,Hand Pump,Rashtriya Lok Dal
38,S,RSP,Spade &amp; Stoker,Revolutionary Socialist Party
39,S,SAD,Scales,Shiromani Akali Dal
40,S,SDF,Umbrella,Sikkim Democratic Front
41,S,SHS,"Bow &amp; Arrow,Cauliflower,Envelope,Scissors",Shivsena
42,S,SP,"Almirah,Bicycle,Walking Stick",Samajwadi Party
43,S,TDP,Bicycle,Telugu Desam
44,S,TRS,Car,Telangana Rashtra Samithi
45,S,UDP,Drum,United Democratic Party
46,U,A S P,Walking Stick,Adarsh Samaj Party
47,U,Aa S P,Gas Cylinder,Asankhya Samaj Party
48,U,AAMJP,Pen Nib with Seven Rays,Aam Janata Party
49,U,AAP,Almirah,awami aamjan party
50,U,ABAS,BUCKET,Akhil Bharatiya Ashok Sena
51,U,ABCD(A),"Candles,Kite",Akhil Bharatiya Congress Dal (Ambedkar)
52,U,ABHKP,Auto- Rickshaw,Akhil Bharatiya Hind Kranti Party
53,U,ABHM,"Almirah,Bat,Carrot,Coconut,Whistle",Akhil Bharat Hindu Mahasabha
54,U,ABJS,"Air Conditioner,Battery Torch,Candles,Kite",Akhil Bharatiya Jan Sangh
55,U,ABML(S),"Balloon,Kite,Scissors",Akhil Bharatiya Muslim League (Secular)
56,U,ABMP,Pen Nib with Seven Rays,Akhil Bharatiya Manavata Paksha
57,U,ABRS,Table Lamp,Akhil Bharatiya Rajarya Sabha
58,U,ABSC,Lady Purse,Akhil Bharatiya Samajwadi Congress
59,U,ABSP,Auto- Rickshaw,Akhand Bharat Samaj Party
60,U,ABSR,Chappals,Akhil Bharatiya Shivsena Rashtrawadi
61,U,ABVCP,Telephone,Akhil Bhartiya Vikas Congress Party
62,U,AD,"Cup &amp; Saucer,Scissors",Apna Dal
63,U,ADPT,Gas Cylinder,Apna Desh Party
64,U,ADSMK,Candles,Anaithindia Dravidar Samudaya Munnetra Kazhagam
65,U,ADSP,Auto- Rickshaw,Aadivasi Sena Party
66,U,ADUP,"Grapes,Kettle",Apna Dal United Party
67,U,AGRJP,Pen Nib with Seven Rays,Agar Jan Party
68,U,AIACP,Batsman,All India Azaad Congress Party
69,U,aicp,CALCULATOR,New All India Congress Party
70,U,AIMF,Air Conditioner,All India Minorities Front
71,U,AIMIM,"Almirah,Kite",All India Majlis-E-Ittehadul Muslimeen
72,U,aimpr,Air Conditioner,All India Mazdoor Party (Rangreta)
73,U,AIPF,"Camera,Scissors",All India Peoples' Front (Radical)
74,U,AIRSP,Sewing Machine,All India Ravidas Samata Party
75,U,AJKMP,Auto- Rickshaw,All J & K Kisan Majdoor Party
76,U,AKAAD,Ring,Aazadi Ka Antim Aandolan Dal
77,U,AKAKRP,Kite,All Jammu and Kashmir Republican Party
78,U,AKBAP,Balloon,Akhil Bhartiya Aamjan Party
79,U,AKBJHP,"Auto- Rickshaw,Cot,Scissors",Akhil Bhartiya Jharkhand Party
80,U,AKBMP,Coconut,Akhil Bhartiya Mithila Party
81,U,ALHP,Green Chilli,Al-Hind Party
82,U,AMB,"Batsman,Battery Torch,Camera,Candles,Kite",Amra Bangalee
83,U,AMP,Ceiling Fan,Adarsh Manavtawadi Party
84,U,AMS,Coconut,Aadijan Mukti Sena
85,U,ANC,"Bat,Candles,Cauliflower,Gas Cylinder,Kite,Sewing Machine",Ambedkar National Congress
86,U,AOP,Pot,Aama Odisha Party
87,U,APCP,Walking Stick,Ati Picchara party
88,U,APM,Ring,Ambedkar People's Movement
89,U,APoI,Coat,Ambedkarite Party of India
90,U,APRSSP,Batsman,Andhra Pradesh Rashtra Samaikya Samithi Party
91,U,ARP,"Bat,Batsman,Ceiling Fan,Kite",Ambedkarist Republican Party
92,U,ARPS,"Auto- Rickshaw,Camera",Andhra Rastra Praja Samithi
93,U,ARVP,Razor,Adarsh Rashtriya Vikas Party
94,U,ARWP,Batsman,Akhil Rashtrawadi Party
95,U,ASaP,Batsman,Awami Samta Party
96,U,asdp,Pot,Dr. Ambedkar Samajvadi Democratic Party
