UNNAMED: 0,PARTY NAME,PARTY TYPE,STATE NAME,TOTAL VALID VOTES POLLED IN STATE,TOTAL ELECTORS IN THE STATES,SEAT WON,TOTAL VALID VOTES POLLED BY PARTY,PERCENTAGE OF(%) VALID VOTES POLLED BY PARTY
,Bahujan Samaj Party,N,Andaman & Nicobar Islands,188764,269360,0,1139,0.603398953190227
,Bahujan Samaj Party,N,Andhra Pradesh,48026634,64934138,0,397567,0.827805254892525
,Bahujan Samaj Party,N,Bihar,35304368,63800160,0,765758,2.16901772607854
,Bahujan Samaj Party,N,Chandigarh,450349,615214,0,15934,3.53814486098559
,Bahujan Samaj Party,N,Chhattisgarh,12030690,17664520,0,293910,2.4430020223279
,Bahujan Samaj Party,N,Dadra & Nagar Haveli,162324,196597,0,982,0.604962913678815
,Bahujan Samaj Party,N,Daman & Diu,85917,111827,0,490,0.57031786491614
,Bahujan Samaj Party,N,Gujarat,25369118,40603104,0,243949,0.961598270779457
,Bahujan Samaj Party,N,Haryana,11460931,16097233,0,527013,4.59834371221675
,Bahujan Samaj Party,N,Himachal Pradesh,3069345,4810071,0,22928,0.746999767051276
,Bahujan Samaj Party,N,Jammu & Kashmir,3535313,7183129,0,54091,1.53002011420205
,Bahujan Samaj Party,N,Jharkhand,12792013,20349796,0,140141,1.09553515932168
,Bahujan Samaj Party,N,Karnataka,30780980,46209813,0,265006,0.860940749774698
,Bahujan Samaj Party,N,Kerala,17765332,24326650,0,71316,0.401433533581022
,Bahujan Samaj Party,N,Madhya Pradesh,29247970,48121301,0,1124772,3.84564125305107
,Bahujan Samaj Party,N,Maharashtra,48284248,80798823,0,1271680,2.63373678306018
,Bahujan Samaj Party,N,NCT OF Delhi,8232076,12711164,0,101609,1.23430590290955
,Bahujan Samaj Party,N,Odisha,21196117,29196045,0,218403,1.0303915570951
,Bahujan Samaj Party,N,Puducherry,717749,901357,0,2060,0.287008411018337
,Bahujan Samaj Party,N,Punjab,13786378,19608161,0,263227,1.90932672816602
,Bahujan Samaj Party,N,Rajasthan,26782731,42994657,0,633786,2.36639795993919
,Bahujan Samaj Party,N,Tamil Nadu,40025367,55114867,0,155951,0.389630406137188
,Bahujan Samaj Party,N,Uttar Pradesh,80500789,138810557,0,15914194,19.7689913324949
,Bahujan Samaj Party,N,Uttarakhand,4343847,7127057,0,207846,4.78483703500607
,Bahujan Samaj Party,N,West Bengal,51060534,62833113,0,252594,0.494695178863582
,Bharatiya Janata Party,N,Andaman & Nicobar Islands,188764,269360,1,90969,48.1919221885529
,Bharatiya Janata Party,N,Andhra Pradesh,48026634,64934138,3,4091908,8.52008075352522
,Bharatiya Janata Party,N,Arunachal Pradesh,590635,759344,1,275344,46.6183006425288
,Bharatiya Janata Party,N,Assam,14938826,18837713,7,5507152,36.8646907059497
,Bharatiya Janata Party,N,Bihar,35304368,63800160,22,10543025,29.8632310880059
,Bharatiya Janata Party,N,Chandigarh,450349,615214,1,191362,42.491934033383
,Bharatiya Janata Party,N,Chhattisgarh,12030690,17664520,10,5973904,49.6555392915951
,Bharatiya Janata Party,N,Dadra & Nagar Haveli,162324,196597,1,80790,49.7708287129445
,Bharatiya Janata Party,N,Daman & Diu,85917,111827,1,46960,54.6574019111468
,Bharatiya Janata Party,N,Goa,806897,1060777,2,436679,54.1183075411112
,Bharatiya Janata Party,N,Gujarat,25369118,40603104,26,15249243,60.1094724696381
,Bharatiya Janata Party,N,Haryana,11460931,16097233,7,3993527,34.8446997892231
,Bharatiya Janata Party,N,Himachal Pradesh,3069345,4810071,4,1652995,53.8549755729643
