STATE NAME,ELECTOR_MALE,ELECTOR_FEMALE,ELECTOR_THIRD GENDER,ELECTOR_TOTAL,ELECTOR_NRIS,SERVICE,VOTER_MALE,VOTER_FEMALE,VOTER_THIRD GENDER,POSTAL,VOTER_TOTAL,VOTER_NRIS,POLL %,REJECTED VOTES (POSTAL),VOTES NOT RETRIEVED FROM EVM,NOTA VOTES,VALID VOTES POLLED,TENDERED VOTES
Andhra Pradesh,32676266,32252318,5554,64934138,5,46329,24264387,23899017,299,304018,48467721,0,74.6413558304262,65308,35225,340554,48026634,54
Arunachal Pradesh,379566,379778,0,759344,0,1851,282511,299237,0,19080,600828,0,79.1246128237005,2888,984,6321,590635,15
Assam,9763621,9073991,101,18837713,0,32732,7874627,7208917,0,8843,15092387,0,80.1179368217363,2966,3538,147057,14938826,76
Bihar,34121296,29676576,2288,63800160,0,76350,18748719,17124395,18,19327,35892459,0,56.2576316423031,4434,1761,580964,35304368,8
Goa,528308,532469,0,1060777,27,824,394617,420030,0,2793,817440,0,77.0604943357558,440,0,10103,806897,9
Gujarat,21229089,19373730,285,40603104,11,24527,14189923,11513178,76,146478,25849655,4,63.6642336507081,22609,3043,454885,25369118,62
Haryana,8716547,7380686,0,16097233,3,102219,6350299,5142918,0,8034,11501251,0,71.4486210145557,4169,1931,34220,11460931,153
Himachal Pradesh,2474430,2335639,2,4810071,2,65856,1564350,1528573,0,7276,3100199,0,64.452250289029,1699,0,29155,3069345,5
Jammu & Kashmir,3791735,3391301,93,7183129,0,59852,1925713,1638704,1,7119,3571537,0,49.7211869646222,3504,1170,31550,3535313,17
Karnataka,23584842,22621081,3890,46209813,0,38637,16148545,14876307,167,28564,31053583,0,67.2012738939238,8935,5787,257881,30780980,165
Kerala,11734275,12592375,0,24326650,12585,74708,8668316,9283321,0,35487,17987124,0,73.9399958481747,3025,8204,210563,17765332,271
Madhya Pradesh,25312600,22807629,1072,48121301,5,30333,16723283,12898006,124,26692,29648105,0,61.6111875279515,4544,3754,391837,29247970,140
Maharashtra,42770991,38026914,918,80798823,0,147729,26622180,22046720,254,71249,48740403,0,60.3231596579074,13524,9460,433171,48284248,1922
Manipur,871417,902952,0,1774369,0,9575,686536,727951,0,644,1415131,0,79.7540421411781,404,697,7504,1405132,20
Meghalaya,777639,789602,0,1567241,0,1421,525328,552658,0,309,1078295,0,68.8021178618987,106,131,30145,1047913,3
Mizoram,346219,355951,0,702170,0,4303,212673,213477,0,8812,434962,0,61.9453978381304,1312,449,6495,426706,5
Nagaland,600518,582454,0,1182972,0,5376,528703,510521,0,738,1039962,0,87.9109564723425,189,863,2696,1036214,2
Odisha,15194304,14000556,1185,29196045,0,43531,11073291,10430276,78,39079,21542724,0,73.7864460751448,9191,3653,332766,21196117,64
Punjab,10327188,9280738,235,19608161,169,81047,7259668,6584638,0,5190,13849496,0,70.6312845962454,1889,2475,58754,13786378,27
Rajasthan,22648051,20346580,26,42994657,6,98803,14593374,12440783,1,99618,27133776,1,63.1096463916435,16625,6396,327911,26782731,487
Sikkim,191017,179753,0,370770,1,704,153370,146197,0,10528,310095,0,83.6354073954203,1128,0,4332,304635,0
Tamil Nadu,27571992,27539534,3341,55114867,125,71991,20223799,20331223,436,88824,40644282,0,73.7446794528235,18077,19056,581782,40025367,119
Tripura,1217578,1171244,0,2388822,0,3263,1029407,982333,0,16967,2028707,0,84.9249965045533,1944,2934,23783,2000046,7
Uttar Pradesh,75961829,62841617,7111,138810557,1,138386,44969984,36081818,277,66536,81118615,0,58.4383614280865,10428,15067,592331,80500789,26
West Bengal,32689480,30143134,499,62833113,6,92632,26868997,24704436,64,89067,51662564,1,82.221875589707,17049,13687,571294,51060534,568
Chhattisgarh,8946747,8716788,985,17664520,0,6653,6321794,5932545,0,2623,12256962,0,69.3874614198405,595,788,224889,12030690,114
Jharkhand,10710644,9639126,26,20349796,1,13603,6859701,6122832,0,4092,12986625,0,63.8169788041119,1210,2475,190927,12792013,1
Uttarakhand,3749011,3377989,57,7127057,0,85292,2264005,2113064,2,18490,4395561,0,61.6742787380542,3671,0,48043,4343847,102
Andaman & Nicobar Islands,142783,126577,0,269360,0,420,101129,89084,0,133,190346,0,70.6660231660232,18,0,1564,188764,1
Chandigarh,333621,281593,0,615214,9,1275,244908,208416,0,138,453462,2,73.7080105459239,7,0,3106,450349,2
Dadra & Nagar Haveli,106203,90394,0,196597,0,20,87792,77494,0,38,165324,0,84.0928396669329,38,0,2962,162324,7
Daman & Diu,57011,54816,0,111827,9,10,42355,44873,0,5,87233,0,78.0071002530695,0,0,1316,85917,0
NCT OF Delhi,7051073,5659252,839,12711164,9,4789,4648996,3608486,154,17510,8275146,0,65.1014022004594,3335,45,39690,8232076,33
Lakshadweep,25433,24489,0,49922,0,101,21584,21655,0,3,43242,0,86.6191258363046,3,0,123,43116,0
Puducherry,432048,469289,20,901357,65,483,351544,388189,17,303,740053,0,82.1043160479144,36,0,22268,717749,12
