STATE NAME,PC NAME,CANDIDATES NAME,SEX,AGE,CATEGORY,PARTY NAME,PARTY SYMBOL,GENERAL,POSTAL,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS
Andhra Pradesh,Aruku ,KISHORE CHANDRA DEO,MALE,72,ST,TDP,Bicycle,336163,1938,338101,23.2945299011036,31.3568934415967,1451418
Andhra Pradesh,Aruku ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,MALE,54,ST,BJP,Lotus,17578,289,17867,1.23100306045536,1.65705991736495,1451418
Andhra Pradesh,Aruku ,GODDETI. MADHAVI,FEMALE,26,ST,YSRCP,Ceiling Fan,557561,4629,562190,38.7338451087144,52.1398396453463,1451418
Andhra Pradesh,Aruku ,SHRUTI DEVI VYRICHERLA,FEMALE,46,ST,INC,Hand,17656,74,17730,1.22156401532846,1.64435396736333,1451418
Andhra Pradesh,Aruku ,GANGULAIAH VAMPURU.,MALE,49,ST,JnP,Glass Tumbler,42245,549,42794,2.94842698657451,3.96889360853617,1451418
Andhra Pradesh,Aruku ,SWAMULA. SUBRAHMANYAM,MALE,50,ST,JAJGP,Mike,4705,5,4710,0.324510237574565,0.436824996406164,1451418
Andhra Pradesh,Aruku ,ANUMULA VAMSIKRISHNA,MALE,41,ST,IND,Helicopter,10211,29,10240,0.705516949631326,0.949700204500874,1451418
Andhra Pradesh,Aruku ,KANGALA BALUDORA,MALE,61,ST,IND,Cup & Saucer,13810,16,13826,0.952585678281515,1.28228076439737,1451418
Andhra Pradesh,Aruku ,NARAVA SATYAVATHI,FEMALE,37,ST,IND,Bangles,11231,5,11236,0.774139496685311,1.04207338845428,1451418
Andhra Pradesh,Aruku ,BIDDIKA RAMAYYA.,MALE,57,ST,IND,Battery Torch,7863,4,7867,0.54202166433102,0.729618311407068,1451418
Andhra Pradesh,Aruku ,NOTA,,,,NOTA,,47955,22,47977,3.30552604418575,4.44958659290414,1451418
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,MALE,32,GENERAL,TDP,Bicycle,529213,5331,534544,34.4010399907328,45.9117433345415,1553860
Andhra Pradesh,Srikakulam,DOLA JAGAN,MALE,53,GENERAL,INC,Hand,13456,289,13745,0.884571325602049,1.18055185753329,1553860
Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,MALE,52,GENERAL,YSRCP,Ceiling Fan,520931,6960,527891,33.9728804396793,45.3403201618846,1553860
Andhra Pradesh,Srikakulam,PERLA SAMBA MURTHY,MALE,58,GENERAL,BJP,Lotus,7357,1033,8390,0.539945683652324,0.720613320094891,1553860
Andhra Pradesh,Srikakulam,MATTA SATISH CHAKRAVARTHY,MALE,37,GENERAL,PPOI,FLUTE,1441,7,1448,0.0931872884301031,0.124368067639738,1553860
Andhra Pradesh,Srikakulam,METTA RAMARAO,MALE,53,GENERAL,JnP,Glass Tumbler,31319,637,31956,2.05655593167982,2.74468644302173,1553860
Andhra Pradesh,Srikakulam,NAMBALLA KRISHNA MOHAN,MALE,44,GENERAL,IND,Electric Pole,4829,7,4836,0.311224949480648,0.415361861260893,1553860
Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,MALE,35,GENERAL,IND,Helicopter,5151,5,5156,0.331818825376804,0.442846517092879,1553860
Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,MALE,33,GENERAL,IND,Football,3814,4,3818,0.245710681786004,0.327926299895387,1553860
Andhra Pradesh,Srikakulam,NOTA,,,,NOTA,,25500,45,25545,1.64397049927278,2.19404854133778,1553860
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,MALE,67,GENERAL,TDP,Bicycle,527307,3075,530382,35.265229590819,43.3874085532704,1503980
Andhra Pradesh,Vizianagaram,Adiraju Yedla,MALE,52,GENERAL,INC,Hand,15607,118,15725,1.04555911647761,1.28636906889785,1503980
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,MALE,57,GENERAL,YSRCP,Ceiling Fan,573466,4952,578418,38.4591550419554,47.3169490679653,1503980
Andhra Pradesh,Vizianagaram,Sanyasi Raju Pakalapati,MALE,60,GENERAL,BJP,Lotus,6902,364,7266,0.483118126570832,0.594388404108855,1503980
Andhra Pradesh,Vizianagaram,P.V.A. Ananda Sagar,MALE,55,GENERAL,SAPRP,Electric Pole,4981,2,4983,0.331320895224671,0.407629702404958,1503980
Andhra Pradesh,Vizianagaram,Chiranjeevi Lingala,MALE,28,GENERAL,ACP,Tooth Brush,1261,2,1263,0.0839771805476137,0.103318545883496,1503980
Andhra Pradesh,Vizianagaram,Mukka Srinivas Rao,MALE,39,GENERAL,JnP,Glass Tumbler,33779,413,34192,2.27343448716073,2.79704490961877,1503980
Andhra Pradesh,Vizianagaram,Lagudu. Govinda Rao,MALE,39,GENERAL,JAJGP,Mike,787,4,791,0.0525937844918151,0.0647070227979775,1503980
Andhra Pradesh,Vizianagaram,Surya Bhavani. K,FEMALE,38,GENERAL,PPOI,FLUTE,822,8,830,0.0551869040811713,0.0678973816969928,1503980
Andhra Pradesh,Vizianagaram,Yella Rao Siyyadula,MALE,37,SC,IND,Gas Cylinder,1010,0,1010,0.0671551483397386,0.0826221150770635,1503980
Andhra Pradesh,Vizianagaram,Dhanalakoti Ramana,MALE,29,GENERAL,IND,Matchbox,1172,4,1176,0.0781925291559728,0.0962015914164621,1503980
Andhra Pradesh,Vizianagaram,Pentapati Rajesh,MALE,39,GENERAL,IND,Battery Torch,1461,1,1462,0.0972087394779186,0.119597556675908,1503980
Andhra Pradesh,Vizianagaram,Ijjurouthu Ramunaidu,MALE,47,GENERAL,IND,Coat,4550,3,4553,0.302730089495871,0.372453950441456,1503980
Andhra Pradesh,Vizianagaram,Venkata Trindha Rao Veluri,MALE,52,GENERAL,IND,Sitar,6336,2,6338,0.42141517839333,0.518474223127157,1503980
Andhra Pradesh,Vizianagaram,NOTA,,,,NOTA,,29468,33,29501,1.96152874373329,2.41330199691926,1503980
Andhra Pradesh,Visakhapatnam,DAGGUBATI PURANDESWARI,FEMALE,58,GENERAL,BJP,Lotus,33430,462,33892,1.85273055267042,2.73339995048072,1829300
Andhra Pradesh,Visakhapatnam,PEDADA. RAMANIKUMARI,FEMALE,48,GENERAL,INC,Hand,14550,83,14633,0.799923467993221,1.18015583250868,1829300
Andhra Pradesh,Visakhapatnam,BHARAT MATHUKUMILLI,MALE,29,GENERAL,TDP,Bicycle,431093,1399,432492,23.6424861969059,34.8806093291427,1829300
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,MALE,52,GENERAL,YSRCP,Ceiling Fan,433968,2938,436906,23.8837806811349,35.2365997511132,1829300
Andhra Pradesh,Visakhapatnam,GEORGE BANGARI,MALE,46,SC,VCK,Stool,3027,1,3028,0.165527797518176,0.244209106870518,1829300
Andhra Pradesh,Visakhapatnam,B. JAYA VENU GOPAL,MALE,30,GENERAL,PPOI,FLUTE,1622,5,1627,0.0889411250204997,0.131218037278181,1829300
Andhra Pradesh,Visakhapatnam,V.V. LAKSHMI NARAYANA,MALE,53,GENERAL,JnP,Glass Tumbler,287072,1802,288874,15.7915049472476,23.297774616286,1829300
Andhra Pradesh,Visakhapatnam,ANMISH VARMA,MALE,26,GENERAL,IND,Bat,1904,11,1915,0.10468485212923,0.154445323532709,1829300
Andhra Pradesh,Visakhapatnam,R. UDAYA GOWRI,FEMALE,44,GENERAL,IND,DIAMOND,1384,0,1384,0.0756573552725086,0.111620014500924,1829300
Andhra Pradesh,Visakhapatnam,KOTHAPALLI GEETHA,FEMALE,48,GENERAL,IND,Mike,1155,3,1158,0.0633029027496857,0.0933930468150793,1829300
Andhra Pradesh,Visakhapatnam,GAMPALA SOMASUNDARAM,MALE,76,GENERAL,IND,COCONUT FARM,1127,1,1128,0.0616629311758596,0.0909735378302327,1829300
Andhra Pradesh,Visakhapatnam,GANNU MALLAYYA,MALE,70,GENERAL,IND,Ganna Kisan,1311,2,1313,0.0717760892144536,0.105893843236787,1829300
Andhra Pradesh,Visakhapatnam,DURGAPRASAD. GUNTU,MALE,51,GENERAL,IND,Letter Box,2463,1,2464,0.134696331930247,0.198722337955402,1829300
Andhra Pradesh,Visakhapatnam,PULAPAKA RAJA SEKHAR,MALE,40,GENERAL,IND,Gas Cylinder,2294,0,2294,0.125403159678566,0.185011787041271,1829300
Andhra Pradesh,Visakhapatnam,NOTA,,,,NOTA,,16626,20,16646,0.90996556059695,1.34250488539189,1829300
