STATE NAME,PC NO.,PC NAME,ELECTORS,MALE,FEMALE,THIRD GENDER,TOTAL,NRI,POSTAL VOTES,TOTAL VOTERS,VOTER TURN OUT %,MALE_TURNOUT,FEMALE_TURNOUT,THIRD GENDER_TURNOUT
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,318471,109407,97671,2,207080,0,318,207398,65.1230410304235,64.63308009499391,65.46840228436604,22.22222222222222
Andhra Pradesh,1,Aruku ,1451418,523085,544258,19,1067362,0,10873,1078235,74.28838556501297,73.70529436464524,73.38712504685651,20.212765957446805
Andhra Pradesh,2,Srikakulam,1553860,548060,594937,14,1143011,0,21275,1164286,74.92862934884738,70.07911167827491,77.10512809878796,6.698564593301436
Andhra Pradesh,3,Vizianagaram,1503980,603059,605843,7,1208909,0,13524,1222433,81.27987074296202,79.97960255485295,80.79619546010422,5.691056910569105
Andhra Pradesh,4,Visakhapatnam,1829300,608306,624713,7,1233026,0,6895,1239921,67.78117312633248,66.25553712419169,68.56968178929448,6.0344827586206895
Andhra Pradesh,5,Anakapalli,1521363,606111,626764,6,1232881,0,7575,1240456,81.53583332840354,80.78916290563795,81.28612726133798,9.090909090909092
Andhra Pradesh,6,Kakinada,1563930,616003,611330,66,1227399,0,9415,1236814,79.08371858075489,79.37886341876398,77.61186071430384,29.333333333333332
Andhra Pradesh,7,Amalapuram ,1459556,617210,607337,0,1224547,0,10821,1235368,84.63998640682509,84.62396963896917,83.17736530210047,0.0
Andhra Pradesh,8,Rajahmundry,1534256,617706,626974,8,1244688,0,5800,1250488,81.50452075794391,81.9227861699447,80.36850551963533,6.557377049180328
Andhra Pradesh,9,Narsapuram,1439691,580912,587960,35,1168907,5,10255,1179162,81.90382519582326,81.94000124127581,80.47742235727289,22.875816993464053
Andhra Pradesh,10,Eluru ,1594950,659879,662137,32,1322048,0,10162,1332210,83.52675632464968,83.99874233370927,81.82248441740111,24.242424242424242
Andhra Pradesh,11,Machilipatnam ,1473347,609214,626244,14,1235472,0,10080,1245552,84.53894432200968,84.43363408312891,83.30858994620309,13.861386138613863
Andhra Pradesh,12,Vijayawada,1652994,632378,640718,36,1273132,0,4643,1277775,77.30064355950475,77.57249981293141,76.49350354758951,20.689655172413794
Andhra Pradesh,13,Guntur,1706119,659306,686873,31,1346210,0,5317,1351527,79.2164555930741,79.42555834105335,78.42690163311119,14.553990610328638
Andhra Pradesh,14,Narasaraopet,1670391,707594,721882,49,1429525,0,11207,1440732,86.25118310623083,86.15232142052697,85.0417503086507,23.78640776699029
Andhra Pradesh,15,Bapatla ,1468671,618167,636396,7,1254570,0,15428,1269998,86.4726000581478,85.54062151028356,85.31612342762763,8.235294117647058
Andhra Pradesh,16,Ongole ,1556469,663664,659603,29,1323296,0,20707,1344003,86.34948720469215,84.94627371924098,85.09831545838188,33.33333333333333
Andhra Pradesh,17,Nandyal,1603220,639159,649242,75,1288476,0,11309,1299785,81.07340227791569,80.67327122573936,80.0935104027239,22.45508982035928
Andhra Pradesh,18,Kurnool,1573009,596807,585326,24,1182157,0,8515,1190672,75.69390893504105,75.85947857388904,74.46109380307169,12.060301507537687
Andhra Pradesh,19,Anantapur,1664160,672882,661447,46,1334375,0,13739,1348114,81.00867705028362,80.8206475914106,79.55668401858998,25.274725274725274
Andhra Pradesh,20,Hindupur,1578218,672703,654120,20,1326843,0,13184,1340027,84.90759831658238,84.57024252077788,83.5712889464667,27.77777777777778
Andhra Pradesh,21,Kadapa,1570330,593730,625851,67,1219648,0,15899,1235547,78.68072316010011,76.65057649630192,78.67361908126054,28.63247863247863
Andhra Pradesh,22,Nellore,1672845,629756,644145,33,1273934,0,15227,1289161,77.06398381200889,76.62514327153089,75.71531338378318,14.163090128755366
Andhra Pradesh,23,Tirupati ,1650453,643590,660641,31,1304262,0,12211,1316473,79.76434348630346,79.39899602382006,78.68323922341152,12.156862745098039
Andhra Pradesh,24,Rajampet,1546938,597375,615378,21,1212774,0,13378,1226152,79.26316374670478,77.86877766712377,78.93296871172019,13.043478260869565
Andhra Pradesh,25,Chittoor ,1566499,650995,658150,27,1309172,0,10463,1319635,84.24103685990224,83.49279596563815,83.6654399379644,17.763157894736842
Arunachal Pradesh,1,ARUNACHAL WEST,463775,160826,183297,0,344123,0,19924,364047,78.49646919303541,71.2338111014652,77.01457544652799,0.0
Arunachal Pradesh,2,ARUNACHAL EAST,339788,139963,142891,0,282854,0,12865,295719,87.03044251121287,80.45006466446328,86.17599343839144,0.0
Assam,1,Karimganj ,1340173,556550,502069,0,1058619,0,2541,1061160,79.1808221774353,79.64618233544846,78.27985724464706,0.0
Assam,2,Silchar,1195720,485516,459284,2,944802,0,5888,950690,79.50774428796039,78.5231979479516,79.55228844208571,2.666666666666667
Assam,3,Autonomous District,795945,312945,302927,0,615872,0,1986,617858,77.62571534465322,77.19717601089337,77.56321132746989,0.0
Assam,4,Dhubri,1858566,862010,820604,2,1682616,0,2442,1685058,90.66441546870007,90.61113452864362,90.4532893598306,8.333333333333332
Assam,5,Kokrajhar,1776358,751087,718477,0,1469564,0,10180,1479744,83.3021271613042,82.43584523173205,83.04153249761328,0.0
Assam,6,Barpeta,1685149,750196,702041,1,1452238,0,6570,1458808,86.56848741565287,85.92414765471183,86.45377948431239,6.25
Assam,7,Gauhati,2181319,899023,862213,4,1761240,0,2710,1763950,80.86620984826153,81.47929626890561,79.99267069623747,5.128205128205128
Assam,8,Mangaldoi,1800237,777107,724548,0,1501655,0,4764,1506419,83.6789267190931,83.96119085305574,82.83862116275081,0.0
Assam,9,Tezpur,1499639,598677,587656,2,1186335,0,5550,1191885,79.47812773607514,77.93020767434413,80.34827027041808,6.451612903225806
Assam,10,Nowgong,1794648,761620,728706,3,1490329,0,3295,1493624,83.2265714502231,82.5801275100837,83.53664198532876,6.122448979591836
Assam,11,Kaliabor,1734938,728541,693125,5,1421671,0,3124,1424795,82.12368395873513,82.16735934495378,81.71360126945653,10.869565217391305
Assam,12,Jorhat,1365035,535678,518560,1,1054239,0,4581,1058820,77.56724186559319,77.22642385308933,77.23769776371722,14.285714285714285
Assam,13,Dibrugarh,1314319,514418,499258,1,1013677,0,2315,1015992,77.30178137879768,77.39193491120699,76.85633752515014,3.571428571428571
Assam,14,Lakhimpur,1708013,651081,628945,2,1280028,0,3922,1283950,75.17214447431022,74.82433982343193,75.0687792796825,4.761904761904762
Bihar,1,Valmiki Nagar,1665502,530289,499397,2,1029688,0,2543,1032231,61.97716964614873,59.261357731236394,64.80835739545144,2.083333333333333
Bihar,2,Paschim Champaran,1633824,524330,483548,5,1007883,0,5490,1013373,62.0246121981315,59.62598011064802,64.09737061172116,7.936507936507936
Bihar,3,Purvi Champaran,1658672,502773,490037,0,992810,0,7325,1000135,60.29733425294452,56.8798569102895,63.25302526703024,0.0
Bihar,4,Sheohar,1686215,500312,500529,0,1000841,0,4086,1004927,59.596611345528295,55.79536317415922,63.401760199428466,0.0
Bihar,5,Sitamarhi,1752454,504721,529645,1,1034367,0,5233,1039600,59.322527153351814,54.34698573599038,64.30095047086489,1.7857142857142856
Bihar,6,Madhubani,1792798,454516,507776,2,962294,0,2412,964706,53.81007787826626,48.037303960269426,59.980108059071036,3.9215686274509802
Bihar,7,Jhanjharpur,1852417,496451,562801,0,1059252,0,3139,1062391,57.351611435222196,51.15082689119615,63.8250507208657,0.0
Bihar,8,Supaul,1690620,529157,580683,0,1109840,0,1156,1110996,65.71529971253149,60.09480578328906,71.68448029390633,0.0
Bihar,9,Araria,1805439,575565,593532,1,1169098,0,643,1169741,64.78983781783822,60.55143450189839,69.43218414738716,1.5873015873015872
Bihar,10,Kishanganj,1659651,537374,563614,3,1100991,0,665,1101656,66.37877481470503,62.55386714284717,70.40484277350215,5.0
Bihar,11,Katihar,1653353,554254,562770,0,1117024,0,1265,1118289,67.63764301997213,63.26421594029864,72.41161015051816,0.0
Bihar,12,Purnia,1765312,574694,578456,1,1153151,0,838,1153989,65.37025749555886,62.72404406773001,68.13091553243915,2.0
Bihar,13,Madhepura,1884883,552934,592789,0,1145723,0,1929,1147652,60.887174429394285,56.59381262653246,65.29735743476202,0.0
Bihar,14,Darbhanga,1654811,468623,493457,2,962082,0,3428,965510,58.345635846027136,53.48246669207891,63.379751647888696,9.523809523809524
Bihar,15,Muzaffarpur,1730553,532392,521572,0,1053964,0,4543,1058507,61.165823872484694,57.70361314153421,64.55985908955314,0.0
Bihar,16,Vaishali,1735983,536923,535176,2,1072101,0,2650,1074751,61.910226079402854,57.584061191571145,66.6040255426443,4.166666666666666
Bihar,17,Gopalganj (SC),1839514,476256,539136,2,1015394,0,10662,1026056,55.77864588146652,50.62454757371957,59.9919882494325,2.73972602739726
Bihar,18,Siwan,1799551,471597,510554,0,982151,0,2699,984850,54.72754036979224,49.96027306704635,59.67525135759987,0.0
