SR.NO.,PARTY TYPE,ABBREVIATION,PARTY SYMBOL,PARTY NAME
1,N,AITC,Flowers and Grass,All India Trinamool Congress
2,N,BJP,Lotus,Bharatiya Janata Party
3,N,BSP,Elephant,Bahujan Samaj Party
4,N,CPI,Ears of Corn And Sickle,Communist Party of India
5,N,CPIM,"Hammer, Sickle and Star",Communist Party of India  (Marxist)
6,N,INC,Hand,Indian National Congress
7,N,NCP,Clock,Nationalist Congress Party
8,S,AAAP,Broom,Aam Aadmi Party
9,S,ADMK,Two Leaves,All India Anna Dravida Munnetra Kazhagam
10,S,AGP,Elephant,Asom Gana Parishad
11,S,AIFB,Lion,All India Forward Bloc
12,S,AIMIM,Kite,All India Majlis-E-Ittehadul Muslimeen
13,S,AINRC,Jug,All India N.R. Congress
14,S,AIUDF,Lock and Key,All India United Democratic Front
15,S,AJSUP,Banana,AJSU Party
16,S,BJD,Conch,Biju Janata Dal
17,S,BLSP,Ceiling Fan,Rashtriya Lok Samta Party
18,S,BOPF,Nangol,Bodoland Peoples Front
19,S,DMDK,Nagara,Desiya Murpokku Dravida Kazhagam
20,S,DMK,Rising Sun,Dravida Munnetra Kazhagam
21,S,INLD,Spectacles,Indian National Lok Dal
22,S,IPFT,Dao,Indigenous People's Front of Tripura
23,S,IUML,"Ladder,Auto- Rickshaw,Gas Cylinder",Indian Union Muslim League
24,S,JD(S),A lady farmer carrying paddy on her head,Janata Dal  (Secular)
25,S,JD(U),"Air Conditioner,Arrow",Janata Dal  (United)
26,S,JKN,Plough,Jammu & Kashmir National Conference
27,S,JKNPP,"Bicycle,Cot",Jammu & Kashmir National Panthers Party
28,S,JKPDP,Ink Pot & Pen,Jammu & Kashmir Peoples Democratic Party
29,S,JMM,"Almirah,Lady Purse,Bow & Arrow,FLUTE,Football,Auto- Rickshaw,Throwing a Javelin",Jharkhand Mukti Morcha
30,S,JVM,Comb,Jharkhand Vikas Morcha (Prajatantrik)
31,S,KEC(M),Two Leaves,Kerala Congress  (M)
32,S,LJP,Bungalow,Lok Jan Shakti Party
33,S,MNF,Star,Mizo National Front
34,S,NDPP,Globe,Nationalist Democratic Progressive Party
35,S,NPEP,Book,National People's Party
36,S,NPF,Cock,Naga Peoples Front
37,S,PMK,Mango,Pattali Makkal Katchi
38,S,PPA,Maize,People's Party of Arunachal
39,S,RJD,Hurricane Lamp,Rashtriya Janata Dal
40,S,RLD,Hand Pump,Rashtriya Lok Dal
41,S,RSP,Spade & Stoker,Revolutionary Socialist Party
42,S,SAD,Scales,Shiromani Akali Dal
43,S,SDF,Umbrella,Sikkim Democratic Front
44,S,SHS,"Bow & Arrow,Bow and Arrow,Bead Necklace,Air Conditioner,Sewing Machine,Throwing a Javelin,Key,Ganna Kisan,Cauliflower,Bricks,Basket containing Fruits,FLUTE,Cup & Saucer",Shivsena
45,S,SKM,Table Lamp,Sikkim Krantikari Morcha
46,S,SP,"Bicycle,Tractor Chalata Kisan,Helicopter,Air Conditioner",Samajwadi Party
47,S,TDP,Bicycle,Telugu Desam
48,S,TRS,Car,Telangana Rashtra Samithi
49,S,UDP,Drum,United Democratic Party
50,S,YSRCP,Ceiling Fan,Yuvajana Sramika Rythu Congress Party
51,U,AABHAP,Balloon,Aajad Bharat Party (Democratic)
52,U,AACP,Batsman,Adarshwaadi Congress Party
53,U,AAHPty,Apple,Aap Aur Hum Party
54,U,AAM,CHAPATI ROLLER,Aam Adhikar Morcha
55,U,AAPP,Battery torch,Aapki Apni Party (Peoples)
56,U,ABD,Neck Tie,Adim Bhartiya Dal
57,U,ABEP,Man Blowing Turha,Akhil Bhartiya Ekata Party
58,U,ABGP,"Battery torch,Saw",Akhil Bhartiya Gondwana Party
59,U,ABHM,"DIAMOND,Auto- Rickshaw,Plate Containing Food",Akhil Bharat Hindu Mahasabha
60,U,ABHP,Ear Rings,Adhunik Bharat Party
61,U,ABHS,Gas Cylinder,Akhil Bharatiya Sena
62,U,ABJS,"Battery torch,Tractor Chalata Kisan,Key,Helicopter,Ganna Kisan",Akhil Bharatiya Jan Sangh
63,U,ABLP,Pot,Akhil Bhartiya Lok Dal
64,U,ABML(S),"Tractor Chalata Kisan,Bat",Akhil Bharatiya Muslim League (Secular)
65,U,ABMP,"Pen Nib with Seven Rays,Kettle",Akhil Bharatiya Manavata Paksha
66,U,ABNNP,Tea Filter,Akhil Bhartiya Navnirman Party
67,U,ABSKP,Plastering Trowel,Akhil Bharat Samagra Kranti Party
68,U,ABSSP,Bat,Akhil Bhartiya Sarvadharma Samaj Party
69,U,ACDP,Jackfruit,Anti Corruption Dynamic Party
70,U,ACP,Tooth Brush,Andhra Chaitanya Party
71,U,ADAL,Cup & Saucer,Apna Dal (Soneylal)
72,U,ADPT,"Pressure Cooker,Balloon",Apna Desh Party
73,U,ADRP,Auto- Rickshaw,Assam Dristi Party
74,U,ADRSP,Walking Stick,Adarsh Samaj Party
75,U,ADUP,Tractor Chalata Kisan,Apna Dal United Party
76,U,AgIMK,BUCKET,Agila India Makkal Kazhagam
77,U,AHFBK,CHESS BOARD,Akhil Hind Forward Bloc (Krantikari)
78,U,AHIMSASP,HOCKEY & BALL,Ahimsa Socialist Party
79,U,AHNP,CHAPATI ROLLER,Aihra National Party
80,U,aicp,"CCTV Camera,Auto- Rickshaw",New All India Congress Party
81,U,AIDMMK,Balloon,Ahila India Dhayaga Makkal Munnetra Katchi
82,U,AIJAP,Matchbox,All India Jana Andolan Party
83,U,AIMAK,Auto- Rickshaw,Anaithu Makkal Katchi
84,U,AIMF,"DIAMOND,Ganna Kisan,Air Conditioner",All India Minorities Front
85,U,AINHCP,"Tractor Chalata Kisan,Telephone",All India Hindustan Congress Party
86,U,AINPP,Boat with Man and Sail,All India Praja Party
87,U,AIP,T.V. Remote,All Indians Party
88,U,AIPF,Cot,All India Peoples' Front (Radical)
89,U,AIPTMMK,Capsicum,All  India Puratchi Thalaivar Makkal Munnettra Kazhagam
90,U,AIRCP,Television,All Indian Rajiv Congress Party
91,U,AIUC,Pen Nib with Seven Rays,All India Ulama Congress
92,U,AIUUK,COCONUT FARM,All India Uzhavargal Uzhaippalargal Katchi
93,U,AIVP,Key,Akila India Vallalar Peravai
94,U,AJM,Cup & Saucer,Asom Jana Morcha
95,U,AJNSP,Tractor Chalata Kisan,Aadarsh Janata Sewa Party
96,U,AJPI,Helicopter,Aam Janta Party (India)
97,U,AJPR,"Camera,Helicopter",Aam Janta Party Rashtriya
98,U,AKBHAD,"Cup & Saucer,Scissors",Akhil Bhartiya Apna Dal
99,U,AKBJHP,Football,Akhil Bhartiya Jharkhand Party
100,U,AKBMP,DIAMOND,Akhil Bhartiya Mithila Party
101,U,AKHP,Helicopter,Akhand Hind Party
102,U,AKSP,Pants,Akhand Samaj Party
103,U,ALHP,Green Chilli,Al-Hind Party
104,U,ALINLBP,Glass Tumbler,All India Labour Party
105,U,ALoP,"Apple,Battery Torch",Aasra Lokmanch Party
106,U,AlPP,Cot,All Peoples Party
107,U,AMB,"Camera,Battery torch,COMPUTER,Boat with Man and Sail,BUCKET",Amra Bangalee
108,U,AMiP,"Helicopter,T.V. Remote",Aadarsh Mithila Party
109,U,AMKP,Telephone,Azad Mazdoor Kissan Party
110,U,AMPK,Mike,Anaithu Makkal Puratchi Katchi
111,U,AnAP,Cup & Saucer,Anjaan Aadmi Party
112,U,ANC,"Gramophone,Almirah",Ambedkar National Congress
113,U,ANIJP,Glass Tumbler,Andaman & Nicobar Janta Party
114,U,ANNADATA,Tractor Chalata Kisan,Annadata Party
115,U,ANRP,Stool,Adarsh Nyay Rakshak Party
116,U,ANSP,Cake,Ahinsa Samaj Party
117,U,APEP,Hat,All Pensioner’s Party
118,U,APKSP,Cot,Apna Kisan Party
119,U,APoI,Coat,Ambedkarite Party of India
120,U,ARK,"Bricks,Brick",Akhand Rashtrawadi Party
121,U,ARP,"Gas Cylinder,Cup & Saucer",Ambedkarist Republican Party
122,U,ARPS,Mixee,Andhra Rastra Praja Samithi
123,U,ASaP,"Tractor Chalata Kisan,Auto- Rickshaw",Awami Samta Party
124,U,ASDC,Table,Autonomous State Demand Committee
125,U,ASDHP,Bottle,Asli Deshi Party
126,U,ASGP,Pen Nib with Seven Rays,Aadarsh Sangram Party
127,U,ASJP,Road Roller,Apna Samaj Party
128,U,ASP,"Glass Tumbler,Helicopter,Ganna Kisan,Battery Torch",Ambedkar Samaj Party
129,U,ATBP,"Batsman,Bat",Atulya Bharat Party
130,U,AVIRP,"Bat,Trumpet,Electric Pole",AARAKSHAN VIRODHI PARTY
131,U,AVVP,Refrigerator,Adhikar Vikas Party
132,U,AYP,Bread,Ambedkar Yug Party
133,U,AYSRCP,Football Player,Anna YSR Congress Party
134,U,BAAP,"COMPUTER,Fountain",Bharat Jan Aadhar Party
135,U,BAEP,Scissors,Bharatiya Aavaam Ekta Party
136,U,BaHaP,Auto- Rickshaw,Bhartiya Harit Party
137,U,BAHUMP,"Television,Whistle",Bahujan Maha Party
138,U,BaJD,Air Conditioner,Bhartiya Janta Dal
139,U,BALP,Plate Containing Food,Baliraja Party
140,U,BARESP,Air Conditioner,Bahujan Republican  Socialist Party
141,U,BARP,"Road Roller,Crane",Bhartiya Anarakshit Party
142,U,BaSaPa,"Air Conditioner,Battery Torch",Bhartiya Sarvodaya Party
143,U,BaVaP,CHAIN,Bhartiya Vanchitsamaj Party
144,U,BAWPA,Tooth Brush,Bahujan Awam Party
145,U,BBC,Bead Necklace,Bharatiya Bahujan Congress
146,U,BBKD,"Television,COCONUT FARM",BhartiyaBahujanKranti Dal
147,U,BBM,"COCONUT FARM,Gas Cylinder",Bharipa Bahujan Mahasangh
148,U,BBMP,Envelope,Bharat Bhrashtachar Mitao Party
149,U,BBPP,Green Chilli,Bharatiya Bahujan Parivartan  Party
150,U,BCUF,Television,B. C. United Front
151,U,BDJS,Pot,Bharath Dharma Jana Sena
152,U,BDlP,"Shoe,Air Conditioner",Bhartiya Dalit Party
153,U,BDPty,Ganna Kisan,Bharatrashtra Democratic Party
154,U,BEPP,Road Roller,Bhapase Party
155,U,BGanP,Pot,Bharatiya Gana Parishad
156,U,BHABHAPA,Stethoscope,Bhartiya Bhaichara Party
157,U,BHAIP,"Auto- Rickshaw,DIAMOND",Bhartiya Insan Party
158,U,BhAmAP,Capsicum,Bharatiya Aam Awam Party
159,U,BHAPRAP,Ludo,Bharat Prabhat Party
160,U,BhaRP,Helicopter,Bhartiya Rashtrawadi Party
161,U,BHAZS,Football,Bhartiya Azad Sena
162,U,BHBHP,"Tooth Brush,Glass Tumbler",Bharat Bhoomi Party
163,U,BHBP,Sewing Machine,Bharatiya Bahujan Party
164,U,BhBSP,Kettle,Bharatiya Bahujan Samta Party
165,U,BHHF,HOCKEY & BALL,Bhartiya Hind Fauj
166,U,BHJMP,Almirah,Bharatiya Jan Morcha Party
167,U,BHMP,Slate,Bharateeya Manavadhikar party
168,U,BhNP,T.V. Remote,Bharat Nirman Party
169,U,BHPP,COCONUT FARM,Bharatiya Peoples Party
170,U,BHTJP,Almirah,Bhartiya Janraj Party
171,U,BIP,Balloon,Bharatiya Inqalab Party
172,U,BJAZP,"Cup & Saucer,Slate",Bahujan Azad Party
173,U,bjdi,Hat,Bhartiya Janta Dal (Integrated)
174,U,BJKD,"Hat,Water Melon",Bharatiya Jan Kranti Dal (Democratic)
175,U,BJKVP,Grapes,Bajjikanchal Vikas Party
176,U,BJNP,Extension Board,Bhartiya Jan Nayak Party
177,U,BJSAP,Bat,Bhartiya Jan Samman Party
178,U,BJSPP,Cauliflower,Bhartiya Jan Sampark Party
179,U,BJSTP,Room Cooler,Bhartiya Jan Satta Party
180,U,BKNP,"Cot,Tractor Chalata Kisan,Auto- Rickshaw,Walking Stick,DIAMOND",Bhartiya Kisan Party
181,U,BKPP,Cauliflower,Bharatiya Kisan Parivartan Party
182,U,BKrD,Stumps,Bhartiya Krishak Dal
183,U,BKVP,Ganna Kisan,Bhartiya Kranti Vir Party
184,U,BLND,BOX,Bihar Lok Nirman Dal
185,U,BLokSP,"Electric Pole,Lunch Box",Bharat Lok Sewak Party
