PARTY NAME,PARTY TYPE,STATE NAME,TOTAL VALID VOTES POLLED IN STATE,TOTAL ELECTORS IN THE STATE,SEAT WON,TOTAL VALID VOTES POLLED BY PARTY,PERCENTAGE(%) OF VALID VOTES POLLED BY PARTY
Bharatiya Janata Party,N,Arunachal Pradesh,644627,803563,2,379679,58.9
Bharatiya Janata Party,N,Assam,17807713,22050059,9,6484596,36.41
Bharatiya Janata Party,N,Bihar,39989711,71216290,17,9619548,24.06
Bharatiya Janata Party,N,Goa,840704,1136113,1,436650,51.94
Bharatiya Janata Party,N,Gujarat,28681032,45152373,26,18091275,63.08
Bharatiya Janata Party,N,Haryana,12639755,18057010,10,7357347,58.21
Bharatiya Janata Party,N,Himachal Pradesh,3817724,5330154,4,2661281,69.71
Bharatiya Janata Party,N,Jammu & Kashmir,3530883,7922538,3,1648041,46.68
Bharatiya Janata Party,N,Karnataka,34887872,51094530,25,18053454,51.75
Bharatiya Janata Party,N,Madhya Pradesh,36569626,51867474,28,21406911,58.54
Bharatiya Janata Party,N,Maharashtra,53565479,88676946,23,14912139,27.84
Bharatiya Janata Party,N,Manipur,1611941,1959563,1,553377,34.33
Bharatiya Janata Party,N,Odisha,23483298,32497762,8,9130768,38.88
Bharatiya Janata Party,N,Punjab,13611009,20892673,2,1325445,9.74
Bharatiya Janata Party,N,Rajasthan,32113505,48955813,24,18968392,59.07
Bharatiya Janata Party,N,Tripura,2129998,2614718,2,1055658,49.56
Bharatiya Janata Party,N,Uttar Pradesh,85756301,146134603,62,42858171,49.98
Bharatiya Janata Party,N,West Bengal,56660188,70001284,18,23028517,40.64
Bharatiya Janata Party,N,Chhattisgarh,13418188,19016462,9,6902477,51.44
Bharatiya Janata Party,N,Jharkhand,14772593,22404856,11,7623987,51.61
Bharatiya Janata Party,N,Uttarakhand,4791979,7856318,5,2954833,61.66
Bharatiya Janata Party,N,Telangana,18452097,29708615,4,3626173,19.65
Bharatiya Janata Party,N,Chandigarh,452233,646729,1,231188,51.12
Bharatiya Janata Party,N,Daman & Diu,85982,121740,1,37597,43.73
Bharatiya Janata Party,N,NCT OF Delhi,8633358,14327649,7,4908541,56.86
Indian National Congress,N,Assam,17807713,22050059,3,6373659,35.79
