SL. NO.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN,SEX
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,GEN,GENERAL,Indian National Congress,Hand,1407,MALE
2,Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,25738,FEMALE
3,Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,SC,SC,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,39795,FEMALE
4,Andhra Pradesh,Rajahmundry,MARGANI BHARAT,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,121634,MALE
5,Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,32676,MALE
6,Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,165925,MALE
7,Andhra Pradesh,Machilipatnam ,BALASHOWRY VALLABHANENI,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,60238,MALE
8,Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),GEN,GENERAL,Telugu Desam,Bicycle,8726,MALE
9,Andhra Pradesh,Guntur,Jayadev Galla,GEN,GENERAL,Telugu Desam,Bicycle,4205,MALE
10,Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,154002,MALE
11,Andhra Pradesh,Bapatla ,NANDIGAM SURESH,SC,SC,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,16065,MALE
12,Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,214851,MALE
13,Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,250119,MALE
14,Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,149067,MALE
15,Andhra Pradesh,Anantapur,TALARI RANGAIAH,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,141428,MALE
16,Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,140748,MALE
17,Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,380726,MALE
18,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,148571,MALE
19,Andhra Pradesh,Tirupati ,Balli Durga Prasad Rao,SC,SC,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,228376,MALE
20,Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,268284,MALE
21,Andhra Pradesh,Chittoor ,N. REDDEPPA,SC,SC,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,137271,MALE
22,Andhra Pradesh,Aruku ,GODDETI. MADHAVI,ST,ST,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,224089,FEMALE
23,Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,GEN,GENERAL,Telugu Desam,Bicycle,6653,MALE
24,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,48036,MALE
25,Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,4414,MALE
26,Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,GEN,GENERAL,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,89192,FEMALE
27,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,GEN,ST,Bharatiya Janata Party,Lotus,174843,MALE
28,Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,GEN,ST,Bharatiya Janata Party,Lotus,69948,MALE
29,Assam,Kaliabor,Gaurav Gogoi,GEN,GENERAL,Indian National Congress,Hand,209994,MALE
30,Assam,Jorhat,TOPON KUMAR GOGOI,GEN,GENERAL,Bharatiya Janata Party,Lotus,82653,MALE
31,Assam,Dibrugarh,RAMESWAR TELI,GEN,GENERAL,Bharatiya Janata Party,Lotus,364566,MALE
32,Assam,Lakhimpur,PRADAN BARUAH,GEN,ST,Bharatiya Janata Party,Lotus,350551,MALE
