STATE NAME,ELECTOR_MALE,ELECTOR_FEMALE,ELECTOR_THIRD GENDER,ELECTOR_TOTAL,ELECTOR_NRIS,SERVICE,VOTER_MALE,VOTER_FEMALE,VOTER_THIRD GENDER,POSTAL,VOTER_TOTAL,VOTER_NRIS,POLL %,REJECTED VOTES (POSTAL),(VOTES REJECTED / VOTES NOT RETRIVED FROM EVM),NOTA VOTES,VALID VOTES POLLED,TENDERED VOTES
Andhra Pradesh,19521053,19880957,3957,39405967,5090,60250,15567646,15818269,704,287902,31674526,5,80.38,61489,503,468822,31143712,119
Arunachal Pradesh,399747,403816,0,803563,0,5314,300789,326188,0,32789,659766,0,82.11,7675,0,7464,644627,4
Assam,11292580,10756988,491,22050059,0,58947,9184449,8748413,23,59868,17992753,0,81.6,6687,0,178353,17807713,36
Bihar,37681329,33532797,2164,71216290,4,152670,20686921,19980370,53,163109,40830453,0,57.33,23792,0,816950,39989711,0
Goa,556059,580054,0,1136113,68,302,409470,441780,0,2473,853724,1,75.14,521,0,12499,840704,12
Gujarat,23454110,21697273,990,45152373,463,26693,15717100,13214160,249,196855,29128364,0,64.51,45011,1389,400932,28681032,60
Haryana,9716412,8340340,258,18057010,523,105859,6827386,5800424,37,73182,12701029,0,70.34,19493,0,41781,12639755,200
Himachal Pradesh,2724111,2605996,47,5330154,12,68028,1865345,1936405,16,58174,3859940,0,72.42,9208,0,33008,3817724,17
Jammu & Kashmir,4145202,3777176,160,7922538,0,77651,1859457,1649547,3,53737,3562744,0,44.97,10122,0,21739,3530883,0
Karnataka,25840779,25248925,4826,51094530,411,43098,17972827,17080301,516,105788,35159448,16,68.81,20766,0,250810,34887872,92
Kerala,12736005,13468657,174,26204836,87651,53302,9676176,10609869,62,85527,20397168,25534,77.84,11952,0,103596,20281620,364
Madhya Pradesh,27029410,24836647,1417,51867474,71,72797,19781718,17054749,484,91391,36928342,0,71.2,17723,9,340984,36569626,131
Maharashtra,46425348,42249192,2406,88676946,411,112411,28984803,24852971,610,272649,54111038,5,61.02,56793,0,488766,53565479,2328
Manipur,963066,996452,45,1959563,0,20319,768046,838345,17,14043,1620451,0,82.69,3121,0,5389,1611941,2
Meghalaya,949622,965174,0,1914796,2,3424,651490,713584,0,2685,1367759,0,71.43,297,231,10874,1356357,12
Mizoram,388241,404218,5,792464,0,4687,244562,252218,0,3567,500347,0,63.14,726,0,2509,497112,3
Nagaland,615274,598503,0,1213777,0,7490,507247,494895,0,5295,1007437,0,83,1080,0,2064,1004293,8
Odisha,16659698,15835141,2923,32497762,42,43357,11970882,11749761,287,96239,23817169,0,73.29,21971,1076,310824,23483298,52
Punjab,11059826,9832287,560,20892673,1523,111463,7256362,6451540,150,69210,13777295,33,65.94,11863,0,154423,13611009,19
Rajasthan,25560063,23395485,265,48955813,194,136595,16920257,15335164,105,220950,32476481,5,66.34,35417,0,327559,32113505,701
Sikkim,222110,212018,0,434128,0,1822,173235,166645,0,13535,353415,0,81.41,1669,0,2279,349467,0
Tamil Nadu,29662809,30273230,5793,59941832,953,66510,21301000,21883813,1151,233789,43419753,0,72.44,26869,0,550577,42842307,154
Tripura,1328960,1285744,14,2614718,0,9393,1088363,1053907,5,12275,2154550,0,82.4,1378,0,23174,2129998,26
Uttar Pradesh,79070809,67055997,7797,146134603,244,276050,46279346,39940957,336,311327,86531972,6,59.21,50574,0,725097,85756301,7
West Bengal,35951289,34048666,1329,70001284,34,109533,29247410,27849638,218,132752,57230018,0,81.76,23042,0,546788,56660188,423
Chhattisgarh,9533561,9482222,679,19016462,4,17223,6892907,6689325,134,40259,13622625,0,71.64,8172,0,196265,13418188,134
Jharkhand,11737557,10667069,230,22404856,41,40376,7642331,7281044,39,43367,14966781,0,66.8,4823,0,189365,14772593,0
Uttarakhand,4142856,3713219,243,7856318,0,90845,2386547,2390956,45,83867,4861415,0,61.88,18490,0,50946,4791979,1
Telangana,14930804,14776307,1504,29708615,1436,11336,9380527,9245494,232,20603,18646856,0,62.77,3584,377,190798,18452097,6
Andaman & Nicobar Islands,169274,149188,9,318471,0,593,109407,97671,2,318,207398,0,65.12,102,0,1412,205884,0
Chandigarh,342201,304507,21,646729,34,645,240634,215557,15,430,456637,1,70.61,69,0,4335,452233,8
Dadra & Nagar Haveli,132397,117629,3,250029,0,8,103446,95479,0,59,198984,0,79.58,1,0,2950,196033,7
Daman & Diu,60997,60743,0,121740,25,11,41600,45841,0,32,87473,0,71.85,4,0,1487,85982,4
NCT OF Delhi,7882633,6444347,669,14327649,336,11005,4788108,3875512,157,18589,8682366,0,60.6,3354,0,45654,8633358,76
Lakshadweep,28053,27136,0,55189,0,132,23328,23549,0,149,47026,0,85.21,17,0,100,46909,1
Puducherry,459503,513811,96,973410,272,249,371347,418834,71,643,790895,0,81.25,135,0,12199,778561,4
